ticker,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,LPA,Liq.2meses,Pat.Liq,Div.Brut/Pat.,Cresc.5anos,avg_return,volatility,cumulative_return,sharpe_ratio,Earn. Yield
OFSA3,16.89,10.01,1.25,0.95,18.62%,0.696,1.52,6.68,3.52,7.41,5.82,14.23%,9.50%,3.51,14.43%,12.49%,1.6873126873126874,10.01,728976000.0,0.49,7.83%,-0.1116589514957403,0.0237916452801664,-0.5092674468520894,-0.3190983344787406,9.990009990009991
OPCT3,5.33,10.73,1.2,0.618,0.00%,0.393,5.17,4.17,-1.08,8.17,4.2,14.81%,1.58%,1.33,11.64%,11.20%,0.4967381174277726,10.73,886877000.0,1.65,39.43%,-0.1136048716135291,0.034139853125265,-0.5156950421421431,-0.2085110283696003,9.319664492078285
SRNA3,5.87,17.08,0.68,1.048,0.00%,0.184,-101.52,3.84,-0.31,14.85,8.68,27.27%,6.18%,0.99,5.19%,4.01%,0.34367681498829045,17.08,5339170000.0,2.2,33.60%,-0.1139870619329755,0.0266572477667194,-0.5169491765143652,-0.5364707103179237,5.854800936768151
SCAR3,16.1,3.72,0.56,0.828,21.66%,0.309,2.07,2.25,-1.33,5.03,4.49,36.76%,22.09%,3.47,14.32%,14.95%,4.327956989247312,3.72,1670550000.0,0.76,37.38%,-0.1141990438034001,0.0266889028411295,-0.5176436140589997,-0.2497670040927442,26.881720430107524
BDLL4,8.4,0.13,-0.06,0.897,0.00%,0.024,-0.06,-0.42,-0.03,-5.66,-6.06,-212.99%,670.81%,0.52,-6.22%,-43.36%,64.61538461538461,0.13,-231705000.0,-0.8,4.33%,-0.1149202551580429,0.0470898749029667,-0.5200000217982697,0.084438027293544,769.2307692307692
AHEB5,45.0,2.69,2.4,0.538,0.00%,0.745,1.9,2.48,-8.45,2.03,1.95,21.72%,20.02%,2.89,38.05%,89.31%,16.728624535315987,2.69,160224000.0,0.03,63.72%,-0.1154845397130738,0.0346618362632726,-0.5218370050995493,-0.0414395572047637,37.17472118959108
BBDC3,10.6,7.11,0.69,0.0,9.55%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,9.73%,1.490857946554149,7.11,162931000000.0,0.0,-18.20%,-0.1186543946018993,0.021652859178786,-0.5320476378938204,-0.4118032846614877,14.064697609001406
BBDC4,11.58,7.77,0.76,0.0,9.62%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,9.73%,1.4903474903474905,7.77,162931000000.0,0.0,-18.20%,-0.1238539537184212,0.0225493335563551,-0.5484024713164231,-0.3977676371796015,12.87001287001287
BMGB4,3.8,4.98,0.52,0.0,9.74%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,10.45%,0.7630522088353413,4.98,4257730000.0,0.0,-5.42%,-0.1243702133599669,0.0278134221173766,-0.5499999829701021,-0.3033425204010732,20.080321285140563
VTRU3,6.71,13.0,0.38,0.425,0.00%,0.15,3.32,1.21,-0.33,3.71,2.87,35.17%,3.27%,1.43,13.86%,2.92%,0.5161538461538462,13.0,2370060000.0,1.01,12.54%,-0.1248286974671351,0.037128381268527,-0.5514147617202887,-2.218595681168721,7.6923076923076925
