ticker,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,LPA,Liq.2meses,Pat.Liq,Div.Brut/Pat.,Cresc.5anos,avg_return,volatility,cumulative_return,sharpe_ratio
BRIT3,4.06,11.5,1.2,1.435,2.15%,0.559,10.2,7.32,-1.71,10.66,4.46,19.60%,12.46%,1.36,9.16%,10.40%,0.3530434782608695,11.5,1524660000.0,0.83,27.48%,-0.1954608027802932,0.0362778958621559,-0.6987509178502398,-0.5579164280058689
HBRE3,5.73,5.04,0.29,3.837,0.00%,0.123,2.4,1.36,-0.39,4.04,4.02,281.17%,161.43%,1.85,9.48%,5.78%,1.136904761904762,5.04,2030120000.0,0.68,27.34%,-0.1978747543431304,0.0326513717817461,-0.7037037027692783,-0.5690199780508606
BLAU3,11.99,9.04,1.07,1.459,2.33%,0.68,1.79,10.15,4.53,10.89,9.02,14.37%,15.98%,3.82,8.45%,11.78%,1.3263274336283188,9.04,2019480000.0,0.3,8.41%,-0.2006153873380205,0.0261603274612313,-0.709245735938663,-0.899712679952257
HBOR3,2.28,5.95,0.22,0.234,3.99%,0.048,0.14,1.76,-1.87,11.21,9.64,13.35%,13.69%,2.35,2.96%,3.63%,0.38319327731092434,5.95,1413800000.0,1.48,-0.12%,-0.2067015733121002,0.0411337354679235,-0.7212499976158127,-0.1461496164277632
PGMN3,2.76,61.32,0.62,0.14,9.98%,0.183,1.36,3.67,-0.85,6.79,3.09,3.81%,0.25%,1.38,6.44%,1.01%,0.04500978473581213,61.32,2601950000.0,0.61,15.74%,-0.2122208542587536,0.0274556558913285,-0.7317823140614197,-0.7472596042738735
BDLL3,13.01,0.25,-0.1,0.99,0.00%,0.037,-0.1,-0.56,-0.04,-5.05,-5.36,-175.84%,389.28%,0.55,-7.15%,-39.61%,52.04,0.25,-206703000.0,-0.94,-6.88%,-0.2193498171373175,0.0345207667584883,-0.7449019562964347,-0.3397680232606698
PETZ3,3.97,189.22,1.01,0.577,0.07%,0.467,2.94,10.72,-2.35,10.78,3.69,5.38%,0.30%,1.88,5.44%,0.54%,0.020980868829933413,189.22,1809970000.0,0.23,26.42%,-0.2197964972940997,0.0363328402127821,-0.7457061690495521,-0.476712137159934
NINJ3,4.62,27.04,0.83,3.761,0.00%,0.78,0.85,-12.94,0.86,2.31,2.75,-29.06%,13.91%,17.48,-109.79%,3.07%,0.17085798816568049,27.04,283323000.0,0.0,-0.37%,-0.2205951891626671,0.0392267851486417,-0.7471389771102576,-0.5196450496178696
SHOW3,1.74,2.78,0.66,0.239,0.00%,0.273,3.16,1.94,-3.06,1.3,1.21,12.29%,8.34%,1.21,24.05%,23.80%,0.6258992805755396,2.78,177435000.0,0.32,58.51%,-0.2275486409891984,0.041147126843887,-0.7593360989009061,-0.1887890992194622
AHEB5,19.2,1.54,1.44,0.258,0.00%,0.32,0.98,1.19,-1.75,0.4,0.38,21.63%,16.68%,2.2,40.02%,93.37%,12.467532467532466,1.54,113775000.0,0.03,44.82%,-0.2503370979508071,0.0281499311747108,-0.7959837807355985,-0.488627366186135
MTRE3,4.11,5.99,0.45,0.443,14.28%,0.211,0.44,14.96,0.78,28.79,20.15,2.96%,7.98%,2.61,1.59%,7.43%,0.6861435726210351,5.99,976796000.0,0.6,33.35%,-0.2543099216753909,0.0365895147378037,-0.8018774568068932,-0.4740094089332946
VVEO3,2.63,2.6,0.26,0.076,5.19%,0.077,0.22,1.65,-0.89,6.52,4.26,4.59%,2.90%,2.32,6.68%,9.92%,1.0115384615384615,2.6,3286280000.0,1.3,30.18%,-0.2970100155361266,0.0318281370385422,-0.8568953665127553,-1.2202855401622692
ATMP3,1.98,0.09,0.13,0.171,0.00%,0.039,-1.89,-0.4,-0.09,-1.72,-8.89,-42.54%,201.27%,0.92,-10.27%,147.96%,22.0,0.09,419542000.0,0.57,-22.80%,-0.3759820414381184,0.0523760883523635,-0.925843439679454,-0.2686733879477788
VSTE3,14.3,149.16,1.57,1.492,0.33%,0.984,7.5,36.29,-15.98,42.33,8.73,4.11%,1.00%,1.72,3.00%,1.05%,0.09587020648967552,149.16,1037470000.0,0.31,10.94%,-0.3920582503229246,0.0417276638566252,-0.9357879790695124,-0.5501898881140636
GOLL4,1.22,0.26,-0.03,0.028,0.00%,0.027,-0.04,0.21,-0.02,5.32,3.12,12.99%,10.48%,0.32,15.92%,-10.06%,4.692307692307692,0.26,-19348000000.0,-0.73,20.37%,-0.4192177711970959,0.0475708927526789,-0.9500982340725154,-0.4397712481204991
IRBR3,30.96,9.74,0.57,0.455,0.00%,0.17,0.0,-48.87,0.0,0.0,0.0,-0.93%,4.67%,0.0,0.00%,5.86%,3.1786447638603694,9.74,4456840000.0,0.0,0.00%,-0.4234580489797979,0.041405179371145,-0.9520753094805436,-0.6264972809613444
PDGR3,0.18,0.01,0.0,0.15,0.00%,0.021,-0.02,-0.21,0.0,-2.84,-2.87,-72.10%,1349.39%,0.42,-19.32%,-38.19%,18.0,0.01,-3316580000.0,-0.07,-21.89%,-0.7952032883679068,0.064208208581034,-0.9998412448845584,-1.179296291965769
