ticker,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,Liq.2meses,Pat.Liq,Div.Brut/Pat.,Cresc.5anos
TDBH4,0.66,-18.63,1.28,0.906,0.00%,0.811,-6.15,8.73,-5.66,10.23,10.23,10.38%,-4.86%,0.63,10.48%,-6.85%,-18.63,554115000.00,0.27,35.74%
TANC4,43.00,-18.54,3.10,0.511,0.00%,0.428,-25.37,7.96,-0.78,16.20,8.69,6.41%,-2.21%,0.95,6.36%,-16.70%,-18.54,2174310000.00,4.08,9.79%
AURA33,23.21,-18.31,4.02,1.777,3.29%,0.969,24.71,5.25,-2.38,6.07,6.07,33.87%,-9.71%,1.13,26.76%,-21.94%,-18.31,1255340000.00,1.48,13.14%
BIOM3,9.80,-17.33,4.31,10.114,0.00%,2.555,6.59,-17.76,17.64,-17.19,-17.49,-56.95%,-58.37%,3.36,-23.83%,-24.88%,-17.33,288368000.00,0.44,25.08%
MSPA4,36.30,-16.72,0.28,1.490,0.88%,0.164,5.79,-10.14,-0.49,-15.31,51.24,-14.70%,-8.92%,1.53,-1.68%,-1.67%,-16.72,830886000.00,0.20,13.01%
CCIM3,5.52,-16.44,0.94,0.498,0.00%,0.198,0.53,8.96,-1.09,25.04,38.84,5.55%,-3.03%,2.58,2.38%,-5.75%,-16.44,660347000.00,1.93,29.98%
NGRD3,20.81,-15.83,0.43,0.700,0.68%,0.301,1.44,-10.48,4.71,-2.95,7.29,-6.68%,-4.53%,2.29,-3.99%,-2.75%,-15.83,437711000.00,0.04,4.55%
TDBH3,0.56,-15.81,1.08,0.769,0.00%,0.688,-5.22,7.40,-4.80,8.91,8.91,10.38%,-4.86%,0.63,10.48%,-6.85%,-15.81,554115000.00,0.27,35.74%
BIOM4,8.68,-15.35,3.82,8.958,0.00%,2.263,5.84,-15.73,15.63,-15.16,-15.42,-56.95%,-58.37%,3.36,-23.83%,-24.88%,-15.35,288368000.00,0.44,25.08%
GBIO33,10.40,-14.97,1.32,1.518,0.00%,0.791,7.57,13.53,17.58,16.06,16.06,11.21%,-10.14%,1.31,7.12%,-8.83%,-14.97,838439000.00,0.31,-8.99%
DTCY3,4.43,-14.79,-9.88,9.290,0.00%,8.759,-14.79,-29.11,-6.08,-30.42,160.51,-31.91%,-62.81%,0.43,-33.11%,66.83%,-14.79,-4989000.00,-0.48,-24.17%
LECO4,1.46,-13.48,2.00,0.637,0.00%,0.924,-16.84,-29.69,-3.16,-32.69,-32.69,-2.14%,-4.72%,0.82,-3.48%,-14.82%,-13.48,105928000.00,0.20,3.58%
SEDU3,23.80,-13.36,15.00,3.443,0.00%,1.531,57.90,-22.47,-2.67,-28.68,-69.64,-15.33%,-25.73%,1.09,-8.15%,-112.29%,-13.36,415869000.00,4.67,10.87%
TESA3,48.00,-13.3,1.62,1.007,0.00%,0.523,-11.10,9.41,-1.35,15.25,10.09,10.71%,-7.58%,0.86,6.42%,-12.18%,-13.3,858223000.00,1.04,15.48%
ANIM3,1.60,-12.65,0.28,0.170,29.45%,0.065,0.63,0.63,-0.13,4.47,3.00,26.88%,1.42%,1.76,12.37%,-2.24%,-12.65,2278190000.00,2.37,29.27%
IGUA3,8.15,-12.52,-1.44,0.568,0.00%,0.564,-0.65,8.22,-0.60,14.80,5.80,6.91%,-4.53%,0.34,7.61%,11.52%,-12.52,-164188000.00,-1.33,-7.41%
FGUI3,12.00,-12.41,-2.15,16.009,0.00%,25.203,-2.20,-57.76,-2.05,-70.17,-70.17,-27.72%,-129.00%,0.04,-60.74%,17.32%,-12.41,-222024000.00,-0.46,2.13%
IGUA6,8.07,-12.4,-1.43,0.562,0.00%,0.558,-0.64,8.14,-0.59,14.72,5.77,6.91%,-4.53%,0.34,7.61%,11.52%,-12.4,-164188000.00,-1.33,-7.41%
ESPA3,0.72,-12.4,0.30,0.253,0.00%,0.118,0.75,1.81,-0.65,6.48,3.99,13.99%,-2.15%,1.58,7.23%,-2.46%,-12.4,854907000.00,1.00,11.93%
IGUA5,7.98,-12.26,-1.41,0.556,0.00%,0.552,-0.64,8.04,-0.59,14.63,5.73,6.91%,-4.53%,0.34,7.61%,11.52%,-12.26,-164188000.00,-1.33,-7.41%
PRVI3,10.54,-11.74,1.61,0.919,0.00%,0.565,-250.86,9.71,-1.48,9.87,6.39,9.46%,-7.83%,0.99,6.15%,-13.71%,-11.74,525170000.00,0.10,16.19%
