ticker,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,Liq.2meses,Pat.Liq,Div.Brut/Pat.,Cresc.5anos
DEXP3,10.35,5.54,1.27,0.585,4.94%,0.675,1.42,6.01,2.34,5.12,4.30,9.74%,12.19%,3.57,16.90%,22.86%,5.54,768208000.00,0.35,21.08%
BOBR4,2.06,5.57,-13.25,0.376,0.00%,0.634,-9.28,2.51,-1.18,3.81,3.39,14.98%,6.74%,0.88,35.09%,-237.60%,5.57,-40517000.00,-8.07,9.47%
BPIA3,6.10,5.64,1.06,0.000,0.00%,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00,0.00%,18.84%,5.64,77395000.00,0.00,13.41%
BPAR3,182.07,5.64,0.87,0.000,0.00%,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00,0.00%,15.48%,5.64,1983700000.00,0.00,6.01%
DSUL3,7.95,5.65,0.97,0.879,0.00%,0.721,1.93,2.37,2.70,1.27,1.27,37.13%,16.02%,3.50,48.91%,17.25%,5.65,236447000.00,0.01,36.69%
CEEB5,39.00,5.65,1.48,0.676,12.84%,0.358,-11.98,2.59,-0.65,5.97,4.87,26.11%,11.96%,0.87,15.08%,26.20%,5.65,6904000000.00,2.11,10.28%
CSMG3,20.75,5.66,1.02,1.047,17.39%,0.558,19.43,4.06,-1.94,6.03,4.28,25.79%,18.49%,1.21,14.89%,17.97%,5.66,7752950000.00,0.59,9.48%
BRSR6,11.70,5.67,0.49,0.000,5.12%,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00,0.00%,8.62%,5.67,9798830000.00,0.00,4.70%
CEEB3,39.30,5.69,1.49,0.681,12.74%,0.361,-12.08,2.61,-0.65,5.99,4.89,26.11%,11.96%,0.87,15.08%,26.20%,5.69,6904000000.00,2.11,10.28%
WIZC3,5.90,5.71,1.82,0.819,4.17%,0.361,14.90,1.65,-1.26,1.61,1.32,49.70%,23.30%,1.11,27.47%,31.81%,5.71,519136000.00,0.67,12.22%
EVEN3,6.48,5.73,0.65,0.432,15.53%,0.175,0.32,4.10,1.01,5.27,5.11,10.55%,12.02%,3.55,5.05%,11.42%,5.73,1980140000.00,0.72,13.02%
RNPT4,31.81,5.74,0.39,0.467,0.00%,0.379,57.01,56.10,57.01,56.05,56.05,0.83%,8.13%,1.38,0.68%,6.72%,5.74,63944000.00,0.00,4.85%
RNPT3,31.87,5.75,0.39,0.468,0.00%,0.380,57.12,56.21,57.12,56.15,56.15,0.83%,8.13%,1.38,0.68%,6.72%,5.75,63944000.00,0.00,4.85%
CGAS3,109.71,5.76,16.87,0.979,10.03%,0.970,531.99,5.39,-1.71,7.44,6.09,18.18%,17.00%,1.00,23.96%,292.91%,5.76,861744000.00,9.40,17.30%
JHSF3,4.25,5.76,0.58,1.884,8.20%,0.241,1.38,5.08,-0.99,9.74,8.92,37.06%,36.13%,2.33,5.35%,10.10%,5.76,4959010000.00,0.81,20.75%
ETER4,9.85,5.77,0.79,0.553,0.00%,0.474,1.99,12.04,10.78,14.31,7.88,4.60%,9.59%,2.16,4.22%,13.69%,5.77,769884000.00,0.17,22.63%
CGRA3,25.40,5.84,0.60,0.771,9.74%,0.423,1.65,6.77,2.80,4.75,3.40,11.40%,13.19%,2.40,7.95%,10.19%,5.84,889748000.00,0.00,12.42%
CGRA4,25.44,5.85,0.60,0.772,9.72%,0.424,1.65,6.78,2.80,4.76,3.41,11.40%,13.19%,2.40,7.95%,10.19%,5.85,889748000.00,0.00,12.42%
LEVE3,33.10,5.88,4.05,1.034,23.25%,1.438,5.62,5.54,-105.25,6.14,5.46,18.67%,17.57%,1.68,35.32%,68.84%,5.88,1107580000.00,0.82,17.50%
ELPL6,30.20,5.91,1.93,0.311,0.00%,0.209,-2.84,1.81,-0.32,4.03,3.12,17.11%,5.26%,0.76,12.72%,32.66%,5.91,3091000000.00,2.43,6.98%
